fips,slope,sand_pct,silt_pct,clay_pct,organic_matter_pct,pH_soil,awc_soil,cec_soil
20001,4.93,14.853,54.449,30.699,2.457,6.239,0.172,21.143
20003,5.53,11.805,56.551,31.645,2.257,6.268,0.168,21.037
20005,8.91,15.524,53.519,30.958,2.315,6.471,0.179,24.436
20007,4.66,48.268,33.374,18.358,1.299,7.053,0.153,13.126
20009,3.15,38.656,41.141,20.203,1.669,6.846,0.17,16.268
20011,5.83,16.417,53.591,29.992,2.414,6.326,0.17,20.714
20013,7.23,11.138,57.995,30.868,2.625,6.424,0.189,25.098
20015,3.95,9.879,58.287,31.834,2.518,6.502,0.187,24.188
20017,5.3,6.919,58.07,35.011,2.52,6.575,0.176,27.21
20019,4.68,15.833,52.76,31.407,2.453,6.328,0.172,22.042
20021,4.72,17.814,57.246,24.94,2.276,6.084,0.175,16.878
20023,6.21,39.159,42.206,18.635,1.243,7.656,0.177,13.422
20025,4.8,44.589,35.209,20.202,1.324,7.529,0.164,13.616
20027,5.43,24.906,50.257,24.838,2.248,6.495,0.184,19.536
20029,4.54,21.47,54.024,24.505,2.09,6.748,0.189,19.394
20031,4.23,12.264,56.966,30.77,2.31,6.275,0.174,21.173
20033,4.96,42.099,38.82,19.081,1.404,7.239,0.165,12.765
20035,4.67,20.882,51.015,28.103,2.141,6.478,0.177,21.592
20037,4.23,14.071,56.132,29.797,2.116,6.217,0.183,19.37
20039,6.32,17.275,59.398,23.328,1.802,7.391,0.204,18.666
20041,4.48,21.279,51.206,27.516,2.496,6.707,0.179,20.378
20043,8.75,14.444,58.176,27.38,2.146,6.611,0.19,22.011
20045,5.16,20.292,53.131,26.577,2.398,6.407,0.182,21.279
20047,3.12,46.391,35.398,18.211,1.434,6.867,0.16,14.647
20049,5.17,17.496,52.342,30.162,2.388,6.34,0.169,21.295
20051,5.05,24.198,50.947,24.855,1.75,7.45,0.181,18.687
20053,5.47,24.111,51.745,24.145,2.197,6.721,0.192,18.519
20055,4.27,39.4,38.955,21.645,1.245,7.567,0.164,15.803
20057,3.56,38.985,39.713,21.303,1.498,7.314,0.171,16.279
20059,4.91,16.237,55.748,28.015,2.402,6.185,0.18,20.047
20061,4.53,19.827,54.387,25.787,2.44,6.715,0.186,19.918
20063,5.09,27.611,50.672,21.717,1.662,7.575,0.176,16.723
20065,5.92,31.145,48.613,20.242,1.637,7.383,0.182,15.904
20067,3.35,46.516,33.777,19.707,1.156,7.45,0.153,14.972
20069,3.5,36.472,41.285,22.242,1.381,7.365,0.17,16.483
20071,4.2,27.769,50.461,21.77,1.351,7.552,0.191,16.313
20073,5.58,13.661,54.767,31.572,2.361,6.382,0.17,22.501
20075,4.57,47.543,33.396,19.061,1.065,7.587,0.156,13.053
20077,3.99,43.637,37.744,18.619,1.413,6.827,0.164,13.264
20079,2.39,35.433,40.754,23.813,1.879,6.516,0.161,17.972
20081,3.7,46.153,35.25,18.597,1.181,7.335,0.152,14.162
20083,4.91,18.341,54.615,27.044,1.872,7.553,0.198,20.743
20085,8.13,17.651,50.511,31.838,2.685,6.509,0.187,25.569
20087,6.34,18.976,51.726,29.297,2.446,6.446,0.181,23.671
20089,5.23,18.248,55.565,26.187,1.825,6.987,0.193,20.188
20091,5.02,13.13,59.541,27.329,2.603,6.425,0.188,20.966
20093,4.51,43.91,36.099,19.991,1.103,7.631,0.157,14.275
20095,3.12,50.736,31.278,17.986,1.464,6.703,0.156,14.716
20097,5.19,46.213,35.395,18.392,1.393,6.929,0.16,13.676
20099,4.51,17.317,54.02,28.663,2.233,6.184,0.17,19.019
20101,5.22,25.662,50.555,23.782,1.496,7.642,0.185,17.464
20103,6.88,20.921,51.615,27.463,2.22,6.504,0.179,21.935
20105,4.79,18.267,55.298,26.435,2.105,6.943,0.193,19.964
20107,5.33,13.42,56.78,29.8,2.498,6.305,0.171,19.806
20109,5.14,32.221,45.7,22.079,1.41,7.722,0.163,14.906
20111,4.79,11.222,55.913,32.865,2.455,6.467,0.182,23.875
20113,2.75,31.792,43.713,24.495,2.031,6.494,0.17,18.859
20115,4.74,14.126,54.694,31.18,2.682,6.693,0.178,23.216
20117,6.01,17.975,52.504,29.522,2.42,6.537,0.186,23.369
20119,4.21,43.02,35.714,21.267,1.444,7.485,0.165,15.875
20121,5.05,10.998,59.582,29.42,2.703,6.277,0.179,20.263
20123,5.23,16.053,55.27,28.677,1.913,7.149,0.188,21.768
20125,5.77,18.546,52.119,29.334,2.368,6.236,0.175,19.224
20127,4.63,6.603,60.954,32.443,2.681,6.651,0.192,25.898
20129,3.23,54.444,27.623,17.933,0.999,7.339,0.135,14.271
20131,7.21,16.199,54.205,29.596,2.866,6.547,0.189,23.876
20133,4.43,17.844,54.353,27.804,2.607,6.277,0.179,19.771
20135,6.18,19.052,54.14,26.808,1.736,7.509,0.193,20.229
20137,6.99,17.977,59.189,22.834,1.905,7.22,0.207,18.399
20139,6.7,10.349,57.414,32.236,2.565,6.361,0.186,24.135
20141,6.19,18.064,54.105,27.831,1.803,7.429,0.186,20.726
20143,4.58,20.575,53.118,26.307,2.308,6.697,0.184,20.102
20145,3.97,34.133,44.61,21.256,1.678,7.098,0.18,16.51
20147,5.95,24.567,52.23,23.203,1.788,7.164,0.187,18.126
20149,4.28,25.658,50.436,23.906,2.191,6.804,0.18,19.259
20151,3.34,55.251,27.888,16.862,1.341,6.711,0.149,13.347
20153,8.08,16.703,60.764,22.532,1.698,7.626,0.204,17.612
20155,2.12,50.449,31.898,17.653,1.471,6.457,0.154,14.246
20157,4.94,20.909,53.642,25.448,1.984,6.729,0.189,19.998
20159,2.91,48.642,33.333,18.025,1.605,6.48,0.155,14.821
20161,3.49,16.365,56.522,27.114,2.291,6.753,0.19,21.404
20163,5.53,30.45,46.292,23.258,1.642,7.401,0.171,17.623
20165,4.51,20.433,53.098,26.468,1.696,7.497,0.186,19.994
20167,6.0,23.554,51.337,25.109,1.857,7.253,0.181,19.215
20169,3.33,17.13,54.808,28.063,2.476,6.63,0.189,21.098
20171,3.25,34.425,43.937,21.638,1.405,7.546,0.174,15.977
20173,2.32,34.651,42.307,23.041,1.811,6.624,0.17,17.589
20175,3.84,52.686,29.952,17.345,1.079,7.497,0.14,13.247
20177,5.27,20.965,51.646,27.389,2.332,6.53,0.18,22.139
20179,6.16,29.631,50.304,20.064,1.704,7.505,0.18,15.996
20181,3.66,18.593,57.915,23.491,1.742,7.628,0.196,17.848
20183,5.65,20.134,54.625,25.241,1.833,7.321,0.187,19.425
20185,2.36,61.751,24.169,14.08,1.266,6.605,0.136,11.331
20187,3.07,39.345,39.662,20.993,1.191,7.574,0.165,15.82
20189,2.67,49.701,31.016,19.208,1.041,7.358,0.138,14.946
20191,3.61,34.932,41.983,23.085,1.603,6.68,0.168,17.563
20193,2.59,17.509,58.93,23.561,1.799,7.383,0.193,19.099
20195,5.52,24.613,51.526,23.86,1.665,7.622,0.177,17.513
20197,4.36,14.549,56.571,28.88,2.502,6.687,0.185,22.669
20199,3.73,28.193,48.444,23.363,1.489,7.718,0.176,16.118
20201,5.53,24.923,50.265,24.812,2.329,6.36,0.185,19.826
20203,2.87,28.11,48.728,23.162,1.507,7.673,0.181,18.124
20205,6.15,19.935,51.699,28.366,2.439,6.264,0.175,19.417
20207,6.24,17.661,52.89,29.449,2.35,6.276,0.173,20.379
20209,6.16,19.085,54.371,26.544,2.363,6.495,0.186,21.638
21001,9.66,19.377,57.434,23.188,1.318,5.506,0.174,12.292
21003,11.29,15.239,60.252,24.509,1.4,5.506,0.178,12.285
21011,14.51,19.193,56.135,24.671,1.77,6.078,0.173,12.458
21033,11.88,11.998,64.765,23.237,1.253,5.738,0.19,12.874
21043,16.47,28.897,49.102,22.001,1.867,5.399,0.171,13.242
21045,12.13,17.705,57.049,25.247,1.519,5.748,0.179,11.577
21047,9.35,15.133,61.141,23.726,1.566,5.632,0.188,11.405
21049,12.27,15.403,52.365,32.232,1.915,6.177,0.177,18.752
21051,23.09,40.835,41.383,17.782,2.737,5.271,0.155,11.773
21053,17.72,26.346,47.734,25.92,1.839,5.515,0.169,12.957
21055,9.53,12.425,63.88,23.696,1.497,5.875,0.195,13.41
21057,13.91,27.968,48.365,23.666,1.572,5.675,0.175,11.388
21069,14.22,19.442,53.986,26.572,1.643,5.756,0.174,14.98
21075,4.65,14.355,62.664,22.981,1.808,6.388,0.196,16.381
21083,11.2,16.332,66.436,17.232,1.317,5.343,0.197,9.486
21085,12.99,15.675,57.487,26.838,1.3,5.441,0.177,13.514
21097,9.86,15.692,55.16,29.148,1.922,6.218,0.181,16.245
21101,6.66,14.115,62.195,23.69,1.413,5.858,0.192,14.154
21107,9.31,12.394,63.282,24.324,1.59,5.56,0.186,15.235
21111,9.48,16.573,61.327,22.1,1.567,5.814,0.187,12.545
21135,15.13,23.398,52.904,23.698,1.763,5.76,0.17,13.263
21139,11.39,14.23,61.431,24.339,1.613,5.743,0.188,13.704
21141,8.31,16.4,58.045,25.555,1.571,5.59,0.189,12.864
21151,13.49,17.83,54.916,27.254,1.911,5.895,0.181,15.12
21155,13.04,14.957,56.609,28.434,1.296,5.691,0.177,14.299
21161,11.47,18.396,55.595,26.009,1.851,6.166,0.179,14.325
21169,11.92,18.856,55.789,25.355,1.444,5.46,0.163,13.771
21171,9.12,21.395,54.401,24.204,1.646,5.657,0.172,11.089
21173,15.25,13.96,60.384,25.657,1.746,5.866,0.189,14.673
21179,11.69,13.505,55.486,31.009,1.6,5.969,0.176,18.174
